sourceTaxonName	interactionTypeName	targetTaxonName	localityName	observationDateTime	referenceDoi	referenceUrl	referenceCitation
Gopherus agassizii	eats	Oryzopsis hymenoides	Mojave Desert, Nevada	1991-05/1991/06	https://doi.org/10.1093/icb/icl054	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1205
Gopherus agassizii	eats	Hilaria rigida	Mojave Desert, Nevada	1991-05/1991/07	https://doi.org/10.1093/icb/icl055	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1206
Gopherus agassizii	eats	Krameria parvifolia	Mojave Desert, Nevada	1991-05/1991/08	https://doi.org/10.1093/icb/icl056	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1207
Gopherus agassizii	eats	Lepidium flavum	Mojave Desert, Nevada	1991-05/1991/09	https://doi.org/10.1093/icb/icl057	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1208
Gopherus agassizii	eats	Draba cuneifolia	Mojave Desert, Nevada	1991-05/1991/10	https://doi.org/10.1093/icb/icl058	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1209
Gopherus agassizii	eats	Dithyrea wislizeni	Mojave Desert, Nevada	1991-05/1991/11	https://doi.org/10.1093/icb/icl059	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1210
Gopherus agassizii	eats	Schismus barbatus	Mojave Desert, Nevada	1991-05/1991/12	https://doi.org/10.1093/icb/icl060	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1211
Gopherus agassizii	eats	Cryptantha nevadensis	Mojave Desert, Nevada	1991-05/1991/13	https://doi.org/10.1093/icb/icl061	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1212
Gopherus agassizii	eats	Erodium cicutarium	Mojave Desert, Nevada	1991-05/1991/14	https://doi.org/10.1093/icb/icl062	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1213
Gopherus agassizii	eats	Streptanthella longirostris	Mojave Desert, Nevada	1991-05/1991/15	https://doi.org/10.1093/icb/icl063	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1214
Gopherus agassizii	eats	Bromus (madritensis) rubens	Mojave Desert, Nevada	1991-05/1991/16	https://doi.org/10.1093/icb/icl064	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1215
Gopherus agassizii	eats	Descurania pinnata	Mojave Desert, Nevada	1991-05/1991/17	https://doi.org/10.1093/icb/icl065	https://academic.oup.com/icb/article/46/6/1191/719526?login=true	C. Richard Tracy, K. E. Nussear, T. C. Esque, K. Dean-Bradley, C. R. Tracy, L. A. DeFalco, K. T. Castle, L. C. Zimmerman, R. E. Espinoza, A. M. Barber, The importance of physiological ecology in conservation biology, Integrative and Comparative Biology, Volume 46, Issue 6, December 2006, Pages 1191–1216
